relic_name,tier,relic_price,item_bronze1,price_bronze1,item_bronze2,price_bronze2,item_bronze3,price_bronze3,item_argent1,price_argent1,item_argent2,price_argent2,item_gold1,price_gold1,ev_intact,ev_radiant
Lith C2 Relic,Lith,4.6,Venka Prime Blades,8.5,Paris Prime Upper Limb,2.2,Bronco Prime Receiver,3.6,Nami Skyla Prime Handle,8.5,Akbolto Prime Barrel,9.0,Cernos Prime Lower Limb,23.5,6.02,8.23
Lith C3 Relic,Lith,10.1,Lex Prime Blueprint,2.6,Silva & Aegis Prime Hilt,5.8,Sybaris Prime Blueprint,6.5,Braton Prime Blueprint,3.0,Helios Prime Blueprint,7.0,Chroma Prime Neuroptics Blueprint,30.0,5.47,7.48
Lith C4 Relic,Lith,4.0,Forma Blueprint,,Burston Prime Receiver,3.5,Paris Prime Lower Limb,2.15,Orthos Prime Blade,3.5,Braton Prime Stock,1.5,Chroma Prime Neuroptics Blueprint,30.0,2.58,4.94
Lith C5 Relic,Lith,5.2,Forma Blueprint,,Saryn Prime Neuroptics Blueprint,11.5,Spira Prime Blueprint,4.95,Venka Prime Blueprint,5.3,Valkyr Prime Neuroptics Blueprint,10.0,Cernos Prime Lower Limb,23.5,6.32,8.15
Lith C6 Relic,Lith,2.6,Equinox Prime Chassis Blueprint,6.0,Forma Blueprint,,Fang Prime Blade,2.5,Braton Prime Receiver,4.0,Mesa Prime Blueprint,7.0,Corinth Prime Stock,17.5,3.71,5.37
Lith C7 Relic,Lith,5.0,Valkyr Prime Blueprint,7.0,Hikou Prime Pouch,7.0,Forma Blueprint,,Nyx Prime Systems Blueprint,8.0,Scindo Prime Blueprint,3.8,Cernos Prime Lower Limb,23.5,5.31,7.04
Lith C8 Relic,Lith,5.0,Zephyr Prime Neuroptics Blueprint,7.5,Tiberon Prime Blueprint,6.8,Burston Prime Receiver,3.5,Rubico Prime Stock,7.0,2X Forma Blueprint,,Chroma Prime Neuroptics Blueprint,30.0,5.88,7.37
Lith C9 Relic,Lith,5.2,Octavia Prime Systems Blueprint,8.5,Braton Prime Barrel,5.0,Paris Prime Upper Limb,2.2,Scourge Prime Handle,6.5,Pandero Prime Barrel,5.3,Corinth Prime Stock,17.5,5.62,6.73
Lith D1 Relic,Lith,3.1,Atlas Prime Blueprint,4.0,Lex Prime Receiver,3.35,Burston Prime Receiver,3.5,Mesa Prime Blueprint,7.0,Ninkondi Prime Chain,5.0,Dethcube Prime Blueprint,19.5,4.46,6.16
Lith D2 Relic,Lith,6.0,Equinox Prime Chassis Blueprint,6.0,Wukong Prime Neuroptics Blueprint,8.5,Forma Blueprint,,Fang Prime Handle,2.0,Redeemer Prime Blueprint,4.65,Dethcube Prime Cerebrum,29.5,4.99,6.7
Lith D3 Relic,Lith,5.3,Burston Prime Stock,2.0,Ivara Prime Neuroptics Blueprint,6.5,Stradavar Prime Receiver,6.5,Ninkondi Prime Chain,5.0,Corinth Prime Receiver,7.0,Dethcube Prime Blueprint,19.5,5.51,6.85
Lith D4 Relic,Lith,5.7,Bronco Prime Blueprint,3.0,Orthos Prime Handle,3.25,Forma Blueprint,,Ninkondi Prime Chain,5.0,Zakti Prime Barrel,5.8,Dethcube Prime Blueprint,19.5,3.16,5.15
Lith D5 Relic,Lith,10.4,Redeemer Prime Blade,5.9,Fang Prime Blade,2.5,Forma Blueprint,,Pyrana Prime Receiver,8.5,Mesa Prime Systems Blueprint,17.0,Destreza Prime Blade,57.5,6.08,12.25
Lith D6 Relic,Lith,20.0,Corvas Prime Receiver,8.65,Burston Prime Blueprint,2.95,Forma Blueprint,,Nagantaka Prime Stock,7.5,Lex Prime Blueprint,2.6,Dual Keres Prime Blueprint,15.0,4.35,5.45
Lith D7 Relic,Lith,2.0,Kestrel Prime Blade,3.5,Epitaph Prime Blueprint,5.5,Sevagoth Prime Systems Blueprint,3.0,Velox Prime Blueprint,2.8,Protea Prime Neuroptics Blueprint,3.5,Daikyu Prime Grip,8.5,3.9,4.11
Lith E1 Relic,Lith,20.0,Boltor Prime Barrel,8.0,Ankyros Prime Blueprint,5.55,Forma Blueprint,,Rhino Prime Chassis Blueprint,7.0,Burston Prime Barrel,4.0,Ember Prime Blueprint,25.0,5.14,6.96
Lith E2 Relic,Lith,2.0,Sevagoth Prime Systems Blueprint,3.0,Dual Zoren Prime Handle,2.0,Daikyu Prime Blueprint,1.7,2X Forma Blueprint,,Venato Prime Blueprint,2.0,Epitaph Prime Receiver,8.5,2.09,2.37
Lith F1 Relic,Lith,4.5,Forma Blueprint,,Paris Prime Blueprint,2.9,Fang Prime Blade,2.5,Scindo Prime Blueprint,3.8,Odonata Prime Blueprint,8.5,Fragor Prime Blueprint,10.4,2.93,4.4
Lith F2 Relic,Lith,6.5,Odonata Prime Systems Blueprint,8.5,Hikou Prime Stars,7.0,Paris Prime Upper Limb,2.2,Burston Prime Barrel,4.0,Fang Prime Handle,2.0,Vauban Prime Blueprint,14.05,5.42,5.56
Lith F3 Relic,Lith,40.0,Shade Prime Cerebrum,6.5,Fang Prime Handle,2.0,Forma Blueprint,,Larkspur Prime Stock,6.0,Burston Prime Barrel,4.0,Fulmin Prime Receiver,25.0,3.75,5.92
Lith G1 Relic,Lith,10.5,Latron Prime Blueprint,16.4,Frost Prime Chassis Blueprint,13.5,Reaper Prime Handle,11.0,Ember Prime Systems Blueprint,9.0,2X Forma Blueprint,,Glaive Prime Blueprint,19.5,11.74,10.57
Lith G10 Relic,Lith,3.0,Forma Blueprint,,Fulmin Prime Barrel,4.3,Burston Prime Receiver,3.5,Hildryn Prime Neuroptics Blueprint,7.0,Cobra & Crane Prime Blueprint,3.5,Gunsen Prime Blade,13.0,3.39,4.7
Lith G11 Relic,Lith,5.0,Titania Prime Chassis Blueprint,11.5,Vasto Prime Receiver,8.5,Forma Blueprint,,Corinth Prime Receiver,7.0,Fang Prime Handle,2.0,Gara Prime Blueprint,39.0,6.84,9.03
Lith G12 Relic,Lith,8.0,Zylok Prime Barrel,4.65,Cobra & Crane Prime Hilt,5.0,Burston Prime Blueprint,2.95,2X Forma Blueprint,,Larkspur Prime Receiver,7.5,Gauss Prime Systems Blueprint,25.0,4.52,6.1
Lith G13 Relic,Lith,4.0,Braton Prime Blueprint,3.0,Forma Blueprint,,Masseter Prime Handle,3.2,Grendel Prime Chassis Blueprint,4.0,Wisp Prime Neuroptics Blueprint,6.5,Gunsen Prime Blade,13.0,2.99,4.43
Lith G14 Relic,Lith,1.7,Forma Blueprint,,Lavos Prime Chassis Blueprint,3.0,Paris Prime Lower Limb,2.15,Fang Prime Handle,2.0,Vadarya Prime Receiver,2.0,Gyre Prime Neuroptics Blueprint,11.5,1.97,2.81
Lith G2 Relic,Lith,45.0,Bo Prime Blueprint,14.3,Wyrm Prime Cerebrum,19.5,Latron Prime Stock,14.5,Loki Prime Chassis Blueprint,19.6,Frost Prime Systems Blueprint,11.5,Glaive Prime Blueprint,19.5,16.05,16.22
Lith G3 Relic,Lith,19.4,Zhuge Prime String,8.0,Octavia Prime Neuroptics Blueprint,5.0,Paris Prime Upper Limb,2.2,2X Forma Blueprint,,Panthera Prime Stock,8.7,Guandao Prime Handle,23.9,5.29,6.66
Lith G4 Relic,Lith,3.46,Octavia Prime Neuroptics Blueprint,5.0,Fang Prime Blueprint,1.75,Forma Blueprint,,Titania Prime Neuroptics Blueprint,9.0,Inaros Prime Blueprint,8.0,Guandao Prime Handle,23.9,4.06,6.92
Lith G5 Relic,Lith,3.0,Octavia Prime Neuroptics Blueprint,5.0,Volnus Prime Blueprint,3.6,Lex Prime Receiver,3.35,2X Forma Blueprint,,Strun Prime Stock,8.0,Garuda Prime Neuroptics Blueprint,35.0,4.61,7.09
Lith G6 Relic,Lith,5.0,Burston Prime Stock,2.0,Afuris Prime Blueprint,3.9,Forma Blueprint,,Knell Prime Receiver,3.5,Tatsu Prime Blade,5.0,Garuda Prime Neuroptics Blueprint,35.0,3.13,6.18
Lith G7 Relic,Lith,,Nezha Prime Systems Blueprint,6.0,Lex Prime Receiver,3.35,Forma Blueprint,,Zakti Prime Barrel,5.8,Fang Prime Handle,2.0,Guandao Prime Handle,23.9,3.7,5.51
Lith G8 Relic,Lith,19.2,Forma Blueprint,,Corvas Prime Receiver,8.65,Fang Prime Blueprint,1.75,Burston Prime Barrel,4.0,Fulmin Prime Stock,5.0,Grendel Prime Blueprint,12.5,3.87,4.78
Lith G9 Relic,Lith,3.0,Forma Blueprint,,Dual Keres Prime Blade,8.35,Fang Prime Blueprint,1.75,Khora Prime Chassis Blueprint,7.0,Braton Prime Stock,1.5,Gauss Prime Systems Blueprint,25.0,3.99,5.88
Lith H1 Relic,Lith,8.0,Saryn Prime Systems Blueprint,6.5,Paris Prime Blueprint,2.9,Bronco Prime Blueprint,3.0,Akstiletto Prime Barrel,11.5,Nami Skyla Prime Handle,8.5,Helios Prime Cerebrum,40.0,6.14,10.07
Lith H10 Relic,Lith,6.0,Burston Prime Receiver,3.5,Fang Prime Blade,2.5,Forma Blueprint,,Galatine Prime Handle,5.65,Nekros Prime Blueprint,25.0,Harrow Prime Systems Blueprint,34.5,5.58,10.58
Lith H2 Relic,Lith,7.0,Lex Prime Barrel,3.5,Forma Blueprint,,Zephyr Prime Neuroptics Blueprint,7.5,Oberon Prime Blueprint,8.5,Orthos Prime Blueprint,4.3,Helios Prime Cerebrum,40.0,4.99,8.39
Lith H3 Relic,Lith,4.9,Astilla Prime Receiver,7.5,Paris Prime String,3.4,Nezha Prime Systems Blueprint,6.0,2X Forma Blueprint,,Titania Prime Blueprint,11.0,Harrow Prime Systems Blueprint,34.5,6.18,8.47
Lith H4 Relic,Lith,5.0,Braton Prime Barrel,5.0,Forma Blueprint,,Paris Prime String,3.4,Inaros Prime Chassis Blueprint,4.0,Nezha Prime Blueprint,7.0,Harrow Prime Systems Blueprint,34.5,4.03,7.05
Lith H5 Relic,Lith,7.0,Fang Prime Blueprint,1.75,Forma Blueprint,,Lex Prime Receiver,3.35,Strun Prime Barrel,7.5,Pandero Prime Barrel,5.3,Harrow Prime Systems Blueprint,34.5,3.39,6.86
Lith H6 Relic,Lith,4.6,Tatsu Prime Blueprint,4.1,Burston Prime Receiver,3.5,Volnus Prime Blueprint,3.6,Nagantaka Prime Stock,7.5,Strun Prime Stock,8.0,Hystrix Prime Receiver,19.0,4.92,6.87
Lith H7 Relic,Lith,5.0,Volnus Prime Blueprint,3.6,Khora Prime Systems Blueprint,7.0,Cobra & Crane Prime Hilt,5.0,2X Forma Blueprint,,Akbronco Prime Link,3.5,Harrow Prime Systems Blueprint,34.5,5.03,6.75
Lith H8 Relic,Lith,20.1,Hildryn Prime Systems Blueprint,6.0,Braton Prime Receiver,4.0,Magnus Prime Blueprint,7.5,Nagantaka Prime Stock,7.5,2X Forma Blueprint,,Hystrix Prime Receiver,19.0,5.64,6.32
Lith H9 Relic,Lith,3.3,Afuris Prime Barrel,5.5,Paris Prime String,3.4,Garuda Prime Blueprint,6.5,Fulmin Prime Blueprint,6.5,2X Forma Blueprint,,Hystrix Prime Receiver,19.0,5.0,5.77
Lith I1 Relic,Lith,4.5,Fang Prime Blade,2.5,Pandero Prime Blueprint,4.75,Forma Blueprint,,Burston Prime Barrel,4.0,Karyst Prime Handle,4.0,Ivara Prime Chassis Blueprint,32.5,3.37,6.06
Lith K1 Relic,Lith,7.0,Fang Prime Blueprint,1.75,Burston Prime Stock,2.0,Odonata Prime Harness Blueprint,6.5,Tigris Prime Barrel,5.0,Trinity Prime Blueprint,10.0,Kavasa Prime Buckle,15.75,4.56,6.28
Lith K10 Relic,Lith,5.0,Corvas Prime Stock,4.75,Paris Prime String,3.4,Fang Prime Blade,2.5,Larkspur Prime Stock,6.0,Nidus Prime Blueprint,8.0,Knell Prime Receiver,3.5,4.31,4.93
Lith K11 Relic,Lith,7.0,Tigris Prime Stock,6.5,Vasto Prime Barrel,9.0,Forma Blueprint,,Nekros Prime Neuroptics Blueprint,21.0,Lex Prime Blueprint,2.6,Knell Prime Barrel,29.0,7.1,10.2
Lith K12 Relic,Lith,1.59,Caliban Prime Chassis Blueprint,3.0,Braton Prime Stock,1.5,Trumna Prime Blueprint,1.5,Cedo Prime Receiver,2.5,2X Forma Blueprint,,Kompressa Prime Barrel,8.0,1.95,2.3
Lith K2 Relic,Lith,4.1,Zephyr Prime Neuroptics Blueprint,7.5,Braton Prime Barrel,5.0,Rubico Prime Receiver,4.6,2X Forma Blueprint,,Braton Prime Receiver,4.0,Kogake Prime Gauntlet,27.0,5.31,6.35
Lith K3 Relic,Lith,3.6,Rubico Prime Receiver,4.6,Forma Blueprint,,Paris Prime Upper Limb,2.2,Tiberon Prime Blueprint,6.8,Wukong Prime Chassis Blueprint,11.5,Kronen Prime Blade,34.5,4.43,8.24
Lith K4 Relic,Lith,5.0,Nova Prime Neuroptics Blueprint,11.5,Forma Blueprint,,Dual Kamas Prime Blueprint,5.9,Trinity Prime Blueprint,10.0,Soma Prime Receiver,9.0,Kavasa Prime Buckle,15.75,6.81,8.28
Lith K5 Relic,Lith,10.1,Mirage Prime Chassis Blueprint,10.0,Forma Blueprint,,Helios Prime Carapace,6.5,Akbolto Prime Barrel,9.0,Banshee Prime Systems Blueprint,32.5,Kogake Prime Gauntlet,27.0,9.28,13.75
Lith K6 Relic,Lith,4.5,Bronco Prime Blueprint,3.0,Atlas Prime Blueprint,4.0,Aksomati Prime Receiver,7.0,Paris Prime Grip,3.05,Gara Prime Chassis Blueprint,18.5,Karyst Prime Blade,19.5,6.31,8.59
Lith K7 Relic,Lith,27.9,Paris Prime Lower Limb,2.15,Baza Prime Receiver,5.5,Guandao Prime Blade,8.5,Octavia Prime Chassis Blueprint,11.5,2X Forma Blueprint,,Karyst Prime Blade,19.5,5.75,6.94
Lith K8 Relic,Lith,49.0,Braton Prime Receiver,4.0,Forma Blueprint,,Lex Prime Receiver,3.35,Limbo Prime Neuroptics Blueprint,29.0,Trinity Prime Neuroptics Blueprint,10.5,Kavasa Prime Buckle,15.75,6.52,10.7
Lith K9 Relic,Lith,4.0,Braton Prime Barrel,5.0,Forma Blueprint,,Akbronco Prime Blueprint,2.7,Guandao Prime Blueprint,6.7,Astilla Prime Stock,5.85,Khora Prime Blueprint,30.0,3.93,6.79
Lith L1 Relic,Lith,7.1,Destreza Prime Handle,11.0,Kogake Prime Boot,7.5,Forma Blueprint,,Zhuge Prime Blueprint,7.0,Equinox Prime Neuroptics Blueprint,8.5,Limbo Prime Neuroptics Blueprint,29.0,6.97,9.08
Lith L2 Relic,Lith,4.8,Pyrana Prime Barrel,6.5,Equinox Prime Chassis Blueprint,6.0,Redeemer Prime Blade,5.9,Braton Prime Receiver,4.0,Tekko Prime Blueprint,3.55,Limbo Prime Neuroptics Blueprint,29.0,6.07,7.48
Lith L3 Relic,Lith,20.0,Pyrana Prime Barrel,6.5,Dual Kamas Prime Blueprint,5.9,Lex Prime Barrel,3.5,Trinity Prime Chassis Blueprint,9.0,Kavasa Prime Band,7.8,Limbo Prime Chassis Blueprint,48.5,6.85,10.86
Lith L4 Relic,Lith,15.0,Mag Prime Systems Blueprint,17.0,Boar Prime Receiver,11.5,Forma Blueprint,,Reaper Prime Blueprint,9.4,Vasto Prime Blueprint,7.0,Latron Prime Blueprint,16.4,9.35,9.67
Lith L5 Relic,Lith,4.0,Forma Blueprint,,Paris Prime Upper Limb,2.2,Okina Prime Blade,8.5,Zylok Prime Receiver,4.1,Fang Prime Handle,2.0,Lavos Prime Systems Blueprint,10.0,3.58,4.0
Lith L6 Relic,Lith,21.5,Gunsen Prime Blueprint,4.15,Burston Prime Receiver,3.5,Forma Blueprint,,Wisp Prime Neuroptics Blueprint,6.5,Shade Prime Systems,6.0,Larkspur Prime Barrel,37.0,4.05,7.48
Lith L7 Relic,Lith,2.8,Bronco Prime Receiver,3.6,Nautilus Prime Carapace,7.0,Okina Prime Blade,8.5,Vadarya Prime Barrel,5.0,Sevagoth Prime Blueprint,8.0,Lavos Prime Systems Blueprint,10.0,6.47,6.78
Lith M1 Relic,Lith,4.5,Lex Prime Receiver,3.35,Boar Prime Receiver,11.5,Forma Blueprint,,Soma Prime Blueprint,6.65,Dakra Prime Blueprint,8.65,Mag Prime Blueprint,30.0,6.04,8.54
Lith M10 Relic,Lith,1.8,Orthos Prime Handle,3.25,Sevagoth Prime Systems Blueprint,3.0,Acceltra Prime Blueprint,3.0,Burston Prime Barrel,4.0,Grendel Prime Chassis Blueprint,4.0,Masseter Prime Blade,10.0,3.42,4.14
Lith M2 Relic,Lith,7.0,Nova Prime Neuroptics Blueprint,11.5,Soma Prime Barrel,10.0,Dakra Prime Handle,7.8,Boar Prime Barrel,12.5,2X Forma Blueprint,,Mag Prime Blueprint,30.0,9.4,10.38
Lith M3 Relic,Lith,22.9,Silva & Aegis Prime Hilt,5.8,Forma Blueprint,,Paris Prime Blueprint,2.9,Rubico Prime Stock,7.0,Oberon Prime Blueprint,8.5,Mesa Prime Neuroptics Blueprint,35.0,4.61,8.05
Lith M4 Relic,Lith,4.67,Paris Prime Blueprint,2.9,Akjagara Prime Blueprint,3.7,Equinox Prime Chassis Blueprint,6.0,Stradavar Prime Barrel,3.5,Destreza Prime Blueprint,7.0,Mesa Prime Neuroptics Blueprint,35.0,5.05,7.7
Lith M5 Relic,Lith,4.5,Redeemer Prime Blade,5.9,Burston Prime Stock,2.0,Atlas Prime Blueprint,4.0,Titania Prime Blueprint,11.0,Stradavar Prime Barrel,3.5,Mesa Prime Neuroptics Blueprint,35.0,5.31,8.38
Lith M6 Relic,Lith,4.8,Bronco Prime Blueprint,3.0,Inaros Prime Systems Blueprint,7.0,Forma Blueprint,,Dethcube Prime Carapace,6.5,Akjagara Prime Receiver,8.5,Mesa Prime Systems Blueprint,17.0,4.52,6.37
Lith M7 Relic,Lith,8.4,Kogake Prime Boot,7.5,Akbolto Prime Blueprint,3.9,Banshee Prime Neuroptics Blueprint,3.8,Euphona Prime Barrel,6.6,2X Forma Blueprint,,Mirage Prime Blueprint,38.5,5.35,7.7
Lith M8 Relic,Lith,18.0,Vasto Prime Barrel,9.0,Dakra Prime Handle,7.8,Forma Blueprint,,Frost Prime Systems Blueprint,11.5,Reaper Prime Blade,8.8,Mag Prime Blueprint,30.0,7.09,9.86
Lith M9 Relic,Lith,2.0,Shade Prime Cerebrum,6.5,Orthos Prime Handle,3.25,Gauss Prime Chassis Blueprint,6.5,Hildryn Prime Neuroptics Blueprint,7.0,2X Forma Blueprint,,Masseter Prime Blade,10.0,5.09,5.11
Lith N1 Relic,Lith,53.5,Nekros Prime Chassis Blueprint,9.5,Bronco Prime Blueprint,3.0,Fang Prime Blade,2.5,Akbronco Prime Link,3.5,2X Forma Blueprint,,Nova Prime Chassis Blueprint,28.5,4.75,6.05
Lith N10 Relic,Lith,4.0,Braton Prime Stock,1.5,Orthos Prime Handle,3.25,Forma Blueprint,,Titania Prime Neuroptics Blueprint,9.0,Inaros Prime Blueprint,8.0,Nezha Prime Neuroptics Blueprint,23.0,3.53,6.49
Lith N11 Relic,Lith,4.0,Fang Prime Blueprint,1.75,Lex Prime Blueprint,2.6,Pandero Prime Blueprint,4.75,Astilla Prime Stock,5.85,Zakti Prime Barrel,5.8,Nezha Prime Chassis Blueprint,33.5,4.26,7.2
Lith N12 Relic,Lith,2.2,Astilla Prime Receiver,7.5,Lex Prime Barrel,3.5,Nezha Prime Systems Blueprint,6.0,Burston Prime Barrel,4.0,Strun Prime Barrel,7.5,Nidus Prime Chassis Blueprint,30.0,6.17,8.13
Lith N13 Relic,Lith,4.5,Stradavar Prime Stock,6.5,Lex Prime Barrel,3.5,Fang Prime Blueprint,1.75,Wukong Prime Chassis Blueprint,11.5,Tipedo Prime Ornament,9.5,Ninkondi Prime Handle,20.0,5.69,8.16
Lith N14 Relic,Lith,1.8,Hystrix Prime Barrel,7.0,Braton Prime Barrel,5.0,Afuris Prime Barrel,5.5,2X Forma Blueprint,,Paris Prime Upper Limb,2.2,Nagantaka Prime Blueprint,15.0,4.97,4.86
Lith N15 Relic,Lith,5.0,Forma Blueprint,,Fang Prime Blueprint,1.75,Wisp Prime Systems Blueprint,7.0,Baruuk Prime Chassis Blueprint,4.5,Cobra & Crane Prime Blueprint,3.5,Nautilus Prime Cerebrum,18.0,3.46,4.86
Lith N16 Relic,Lith,5.3,Fang Prime Blueprint,1.75,Braton Prime Barrel,5.0,Gunsen Prime Blueprint,4.15,Trumna Prime Stock,2.65,Gauss Prime Blueprint,6.5,Nautilus Prime Cerebrum,18.0,4.13,5.45
Lith N17 Relic,Lith,1.5,Braton Prime Blueprint,3.0,Lex Prime Barrel,3.5,Xaku Prime Neuroptics Blueprint,2.0,Fang Prime Handle,2.0,Acceltra Prime Receiver,4.0,Nautilus Prime Blueprint,10.0,3.01,3.62
Lith N18 Relic,Lith,2.0,Forma Blueprint,,Braton Prime Stock,1.5,Bronco Prime Blueprint,3.0,Alternox Prime Barrel,3.5,Quassus Prime Blueprint,3.0,Nautilus Prime Blueprint,10.0,2.05,3.05
Lith N19 Relic,Lith,3.09,Vadarya Prime Stock,3.5,Paris Prime Upper Limb,2.2,Daikyu Prime String,5.5,Voruna Prime Chassis Blueprint,4.0,2X Forma Blueprint,,Nautilus Prime Cerebrum,18.0,3.64,4.47
Lith N2 Relic,Lith,17.6,Paris Prime Upper Limb,2.2,Spira Prime Blueprint,4.95,Carrier Prime Systems,7.0,Helios Prime Blueprint,7.0,Kavasa Prime Band,7.8,Nekros Prime Systems Blueprint,28.0,5.77,8.12
Lith N3 Relic,Lith,5.0,Sybaris Prime Stock,13.0,Burston Prime Receiver,3.5,Valkyr Prime Blueprint,7.0,Braton Prime Blueprint,3.0,2X Forma Blueprint,,Nekros Prime Blueprint,25.0,6.78,7.02
Lith N4 Relic,Lith,5.0,Bronco Prime Blueprint,3.0,Forma Blueprint,,Gram Prime Blade,5.0,Atlas Prime Systems Blueprint,5.5,Ivara Prime Blueprint,8.5,Ninkondi Prime Handle,20.0,3.97,6.13
Lith N5 Relic,Lith,7.2,Stradavar Prime Stock,6.5,Zhuge Prime String,8.0,Forma Blueprint,,Braton Prime Receiver,4.0,Ivara Prime Blueprint,8.5,Ninkondi Prime Handle,20.0,5.45,6.92
Lith N6 Relic,Lith,6.7,Fang Prime Blade,2.5,Zhuge Prime Grip,6.0,Aksomati Prime Receiver,7.0,Stradavar Prime Barrel,3.5,Inaros Prime Chassis Blueprint,4.0,Nezha Prime Neuroptics Blueprint,23.0,5.21,6.38
Lith N7 Relic,Lith,5.0,Octavia Prime Systems Blueprint,8.5,Braton Prime Blueprint,3.0,Lex Prime Barrel,3.5,Ivara Prime Blueprint,8.5,Pangolin Prime Blade,8.0,Nidus Prime Chassis Blueprint,30.0,6.21,8.8
Lith N8 Relic,Lith,3.6,Aksomati Prime Blueprint,4.35,Astilla Prime Receiver,7.5,Pandero Prime Blueprint,4.75,Zakti Prime Barrel,5.8,Titania Prime Neuroptics Blueprint,9.0,Nezha Prime Neuroptics Blueprint,23.0,6.29,8.03
Lith N9 Relic,Lith,7.5,Redeemer Prime Blade,5.9,Burston Prime Stock,2.0,Forma Blueprint,,Mesa Prime Blueprint,7.0,Akjagara Prime Receiver,8.5,Nami Skyla Prime Blade,32.5,4.36,7.67
Lith O1 Relic,Lith,6.0,Rubico Prime Receiver,4.6,Burston Prime Blueprint,2.95,Ballistica Prime Lower Limb,9.0,Akbolto Prime Barrel,9.0,2X Forma Blueprint,,Oberon Prime Neuroptics Blueprint,35.0,5.88,8.06
Lith O2 Relic,Lith,15.0,Volt Prime Blueprint,13.0,Bo Prime Blueprint,14.3,Wyrm Prime Cerebrum,19.5,Loki Prime Chassis Blueprint,19.6,2X Forma Blueprint,,Odonata Prime Wings Blueprint,17.5,14.36,13.47
Lith O3 Relic,Lith,15.0,Tenora Prime Blueprint,5.0,Guandao Prime Blade,8.5,Forma Blueprint,,Nezha Prime Blueprint,7.0,Fang Prime Blueprint,1.75,Octavia Prime Blueprint,46.0,5.3,8.6
Lith O4 Relic,Lith,3.9,Vadarya Prime Stock,3.5,Bronco Prime Receiver,3.6,Akarius Prime Barrel,7.0,Xaku Prime Chassis Blueprint,3.0,Protea Prime Neuroptics Blueprint,3.5,Okina Prime Blueprint,19.0,4.67,5.55
Lith P1 Relic,Lith,6.0,Sybaris Prime Stock,13.0,Fang Prime Blade,2.5,Helios Prime Carapace,6.5,2X Forma Blueprint,,Braton Prime Receiver,4.0,Pyrana Prime Blueprint,35.0,6.71,7.97
Lith P2 Relic,Lith,14.0,Burston Prime Blueprint,2.95,Tipedo Prime Blueprint,5.0,Forma Blueprint,,Ballistica Prime Receiver,6.5,Gram Prime Blueprint,8.5,Pyrana Prime Blueprint,35.0,4.36,7.83
Lith P3 Relic,Lith,3.0,Stradavar Prime Stock,6.5,Atlas Prime Blueprint,4.0,Forma Blueprint,,Burston Prime Barrel,4.0,Akjagara Prime Link,7.6,Panthera Prime Barrel,18.5,4.31,5.92
Lith P4 Relic,Lith,5.8,Bronco Prime Blueprint,3.0,Titania Prime Chassis Blueprint,11.5,Braton Prime Barrel,5.0,2X Forma Blueprint,,Equinox Prime Blueprint,10.0,Panthera Prime Barrel,18.5,6.41,7.1
Lith P5 Relic,Lith,3.0,Atlas Prime Blueprint,4.0,Lex Prime Blueprint,2.6,Bronco Prime Receiver,3.6,Guandao Prime Blueprint,6.7,Tekko Prime Blueprint,3.55,Pangolin Prime Blueprint,14.35,4.0,5.19
Lith P6 Relic,Lith,6.5,Burston Prime Receiver,3.5,Akbronco Prime Blueprint,2.7,Gara Prime Systems Blueprint,7.0,Volnus Prime Head,6.5,Harrow Prime Blueprint,6.0,Phantasma Prime Stock,22.5,5.17,6.95
Lith P7 Relic,Lith,21.35,Akjagara Prime Blueprint,3.7,Lex Prime Receiver,3.35,Forma Blueprint,,Destreza Prime Blueprint,7.0,Mesa Prime Blueprint,7.0,Pyrana Prime Blueprint,35.0,4.03,7.48
Lith P8 Relic,Lith,5.0,Afuris Prime Barrel,5.5,Lex Prime Barrel,3.5,Bronco Prime Receiver,3.6,2X Forma Blueprint,,Baruuk Prime Chassis Blueprint,4.5,Phantasma Prime Barrel,22.5,4.14,5.25
Lith P9 Relic,Lith,3.0,Forma Blueprint,,Lex Prime Blueprint,2.6,Hildryn Prime Systems Blueprint,6.0,Bronco Prime Barrel,3.0,Larkspur Prime Receiver,7.5,Protea Prime Systems Blueprint,14.0,3.61,4.93
Lith Q1 Relic,Lith,1.6,Zylok Prime Barrel,4.65,Bronco Prime Receiver,3.6,Wisp Prime Systems Blueprint,7.0,Fulmin Prime Stock,5.0,Nautilus Prime Systems,3.0,Quassus Prime Blade,9.0,4.92,5.04
Lith Q2 Relic,Lith,1.5,Daikyu Prime Blueprint,1.7,Burston Prime Stock,2.0,Trumna Prime Blueprint,1.5,Epitaph Prime Barrel,3.5,Nautilus Prime Systems,3.0,Quassus Prime Blade,9.0,2.21,3.07
Lith Q3 Relic,Lith,,Afentis Prime Handle,11.5,Bronco Prime Blueprint,3.0,Paris Prime String,3.4,Gyre Prime Blueprint,4.5,Cedo Prime Receiver,2.5,Quassus Prime Blade,9.0,5.48,5.28
Lith R1 Relic,Lith,8.2,Mesa Prime Chassis Blueprint,7.0,Hydroid Prime Chassis Blueprint,8.5,Forma Blueprint,,Ballistica Prime Receiver,6.5,Burston Prime Barrel,4.0,Redeemer Prime Handle,38.5,5.85,8.53
Lith R2 Relic,Lith,10.0,Lex Prime Blueprint,2.6,Octavia Prime Systems Blueprint,8.5,Scourge Prime Blade,4.65,Nidus Prime Blueprint,8.0,Tenora Prime Stock,9.8,Revenant Prime Blueprint,28.5,6.52,9.04
